iter	Passed	Remaining
735	3035	1088
736	3039	1084
737	3043	1080
738	3047	1076
739	3052	1072
740	3056	1068
741	3060	1064
742	3065	1060
743	3070	1056
744	3074	1052
745	3078	1048
746	3083	1044
747	3087	1040
748	3091	1036
749	3095	1031
750	3100	1027
751	3105	1024
752	3109	1019
753	3113	1015
754	3117	1011
755	3121	1007
756	3125	1003
757	3130	999
758	3134	995
759	3138	990
760	3142	986
761	3145	982
762	3149	978
763	3153	974
764	3157	970
765	3162	966
766	3166	961
767	3170	957
768	3174	953
769	3179	949
770	3183	945
771	3187	941
772	3190	937
773	3195	933
774	3199	929
775	3203	924
776	3207	920
777	3212	916
778	3216	912
779	3219	908
780	3224	904
781	3228	899
782	3231	895
783	3235	891
784	3239	887
785	3243	883
786	3247	878
787	3252	874
788	3256	870
789	3260	866
790	3264	862
791	3268	858
792	3273	854
793	3277	850
794	3279	845
795	3282	841
796	3286	837
797	3291	833
798	3295	828
799	3298	824
800	3302	820
801	3306	816
802	3310	812
803	3314	807
804	3318	803
805	3322	799
806	3326	795
807	3330	791
808	3334	787
809	3338	783
810	3342	779
811	3346	774
812	3351	770
813	3355	766
814	3358	762
815	3362	758
816	3366	754
817	3370	750
818	3374	745
819	3379	741
820	3383	737
821	3388	733
822	3391	729
823	3396	725
824	3401	721
825	3405	717
826	3409	713
827	3413	709
828	3417	704
829	3421	700
830	3425	696
831	3430	692
832	3434	688
833	3438	684
834	3442	680
835	3446	676
836	3450	671
837	3454	667
838	3458	663
839	3460	659
840	3465	655
841	3469	651
842	3473	646
843	3477	642
844	3481	638
845	3485	634
846	3489	630
847	3490	625
848	3495	621
849	3500	617
850	3503	613
851	3508	609
852	3512	605
853	3516	601
854	3520	597
855	3524	592
856	3529	588
857	3532	584
858	3536	580
859	3540	576
860	3546	572
861	3549	568
862	3553	564
863	3558	560
864	3562	556
865	3566	551
866	3570	547
867	3576	543
868	3580	539
869	3581	535
870	3585	531
871	3605	529
872	3609	525
873	3613	520
874	3617	516
875	3621	512
876	3625	508
877	3629	504
878	3633	500
879	3637	496
880	3641	491
881	3644	487
882	3648	483
883	3650	478
884	3654	474
885	3658	470
886	3662	466
887	3664	462
888	3668	458
889	3672	453
890	3676	449
891	3680	445
892	3684	441
893	3688	437
894	3692	433
895	3695	428
896	3699	424
897	3704	420
898	3707	416
899	3711	412
900	3715	408
901	3719	404
902	3723	399
903	3727	395
904	3732	391
905	3736	387
906	3740	383
907	3743	379
908	3748	375
909	3752	371
910	3756	366
911	3760	362
912	3764	358
913	3768	354
914	3772	350
915	3776	346
916	3781	342
917	3785	338
918	3789	334
919	3793	329
920	3798	325
